id,lat,lon,elevation,timestamp
yl2,51.74668528,-115.5437739,1621,4/24/03 6:00
yl2,51.74539167,-115.5419681,1621,4/24/03 4:00
yl2,51.74287806,-115.5451794,1614,4/24/03 2:00
yl2,51.74291472,-115.5452044,1614,4/24/03 0:00
yl2,51.74975833,-115.5463039,1621,4/24/03 8:00
yl2,51.73711972,-115.5692556,1595,4/25/03 12:00
yl2,51.73612583,-115.5429178,1565,4/25/03 22:00
yl2,51.73549778,-115.5409558,1565,4/25/03 20:00
yl2,51.73425222,-115.5549736,1564,4/25/03 18:00
yl2,51.73715083,-115.5693278,1595,4/25/03 14:00
yl2,51.74076167,-115.5734017,1597,4/25/03 10:00
yl2,51.73858278,-115.5731336,1618,4/25/03 6:01
yl2,51.74074417,-115.5745697,1621,4/25/03 4:00
yl2,51.74065889,-115.5739581,1649,4/25/03 2:00
yl2,51.740355,-115.5728281,1601,4/25/03 8:00
yl2,51.7329675,-115.5597608,1595,4/25/03 16:00
yl2,51.75148806,-115.5755128,1649,4/26/03 16:00
yl2,51.75093833,-115.5757842,1638,4/26/03 14:00
yl2,51.75090444,-115.5755039,1654,4/26/03 12:00
yl2,51.75186778,-115.5749275,1643,4/26/03 22:00
yl2,51.75088889,-115.5745717,1646,4/26/03 18:00
yl2,51.75085972,-115.5739597,1631,4/26/03 20:00
yl2,51.73827222,-115.5461608,1594,4/26/03 4:00
yl2,51.73822806,-115.5455336,1595,4/26/03 2:00
yl2,51.73877806,-115.5438342,1565,4/26/03 0:00
yl2,51.75085778,-115.5754919,1646,4/26/03 10:00
yl2,51.74593639,-115.5483678,1608,4/26/03 6:00
yl2,51.74823167,-115.5606586,1618,4/26/03 8:00
yl2,51.75067972,-115.5750111,1645,4/27/03 6:00
yl2,51.73419694,-115.5315469,1572,4/27/03 22:00
yl2,51.73409444,-115.5308869,1572,4/27/03 20:00
yl2,51.74891056,-115.5590203,1608,4/27/03 14:00
yl2,51.75184444,-115.5749914,1645,4/27/03 4:01
yl2,51.74204528,-115.5620853,1644,4/27/03 8:00
yl2,51.75182694,-115.5749606,1643,4/27/03 2:00
yl2,51.75184389,-115.57498,1643,4/27/03 0:00
yl2,51.7424125,-115.5624847,1617,4/27/03 10:00
yl2,51.74858444,-115.558905,1608,4/27/03 12:00
yl2,51.72897472,-115.5332347,1542,4/28/03 10:00
yl2,51.73490694,-115.5368628,1537,4/28/03 22:00
yl2,51.73204139,-115.5396211,1537,4/28/03 20:00
yl2,51.72900306,-115.5375333,1537,4/28/03 18:01
yl2,51.73024583,-115.5351006,1536,4/28/03 16:00
yl2,51.72921917,-115.5342303,1542,4/28/03 12:00
yl2,51.73015389,-115.5322519,1542,4/28/03 8:00
yl2,51.73448389,-115.5319569,1571,4/28/03 6:00
yl2,51.73423944,-115.5315417,1571,4/28/03 4:00
yl2,51.73417,-115.5316578,1573,4/28/03 2:00
yl2,51.73443722,-115.5316581,1572,4/28/03 0:01
yl2,51.72969389,-115.5334089,1536,4/28/03 14:00
yl2,51.74405889,-115.5628136,1620,4/29/03 12:00
yl2,51.73678667,-115.54519,1572,4/29/03 22:00
yl2,51.73671583,-115.5456233,1572,4/29/03 20:00
yl2,51.73564806,-115.5449756,1563,4/29/03 18:01
yl2,51.74283111,-115.5639111,1621,4/29/03 14:00
yl2,51.74246,-115.5632019,1615,4/29/03 8:00
yl2,51.73540306,-115.5440906,1556,4/29/03 6:00
yl2,51.73687861,-115.5405478,1557,4/29/03 4:00
yl2,51.73672833,-115.5407442,1537,4/29/03 2:00
yl2,51.7347,-115.5367503,1537,4/29/03 0:00
yl2,51.73468917,-115.5494453,1619,4/29/03 16:00
yl2,51.74406194,-115.5628567,1620,4/29/03 10:00
yl2,51.74522306,-115.5653758,1619,4/30/03 10:00
yl2,51.75128306,-115.5504744,1661,4/30/03 22:00
yl2,51.75248972,-115.5507456,1661,4/30/03 20:01
yl2,51.75264639,-115.5542511,1652,4/30/03 18:00
yl2,51.7506725,-115.5598428,1619,4/30/03 16:00
yl2,51.74526139,-115.5657961,1619,4/30/03 12:01
yl2,51.74215472,-115.567685,1603,4/30/03 8:00
yl2,51.73546583,-115.5601006,1576,4/30/03 6:00
yl2,51.73789417,-115.5454186,1591,4/30/03 4:00
yl2,51.73796306,-115.5454008,1592,4/30/03 2:00
yl2,51.7378675,-115.5452575,1586,4/30/03 0:00
yl2,51.74952222,-115.5622861,1619,4/30/03 14:00
yl2,51.74239444,-115.5653778,1628,5/1/03 22:00
yl2,51.74504583,-115.5675006,1629,5/1/03 20:00
yl2,51.75089028,-115.5646669,1630,5/1/03 18:01
yl2,51.75111,-115.5493031,1661,5/1/03 6:01
yl2,51.75155639,-115.5645914,1630,5/1/03 16:00
yl2,51.74983806,-115.5647719,1627,5/1/03 14:00
yl2,51.75273694,-115.5547758,1661,5/1/03 8:01
yl2,51.75106917,-115.5492861,1661,5/1/03 4:00
yl2,51.75124472,-115.5502603,1661,5/1/03 2:00
yl2,51.75137694,-115.5505394,1661,5/1/03 0:01
yl2,51.74601306,-115.5668753,1627,5/1/03 12:01
yl2,51.74590722,-115.5668381,1627,5/1/03 10:02
yl2,51.75070056,-115.5648933,1619,5/2/03 10:00
yl2,51.7523125,-115.551415,1657,5/2/03 22:00
yl2,51.75237833,-115.5517072,1663,5/2/03 20:01
yl2,51.75279333,-115.5519339,1663,5/2/03 18:00
yl2,51.75139861,-115.5620294,1620,5/2/03 16:00
yl2,51.75031444,-115.5628983,1620,5/2/03 12:01
yl2,51.7500825,-115.564805,1619,5/2/03 8:00
yl2,51.7422,-115.568515,1616,5/2/03 6:01
yl2,51.74213889,-115.5625533,1616,5/2/03 4:00
yl2,51.74212333,-115.5626256,1616,5/2/03 2:00
yl2,51.74220694,-115.5632519,1619,5/2/03 0:01
yl2,51.750425,-115.5617844,1620,5/2/03 14:00
yl2,51.7531825,-115.5539506,1659,5/3/03 14:00
yl2,51.75255556,-115.5534197,1659,5/3/03 12:01
yl2,51.75079333,-115.5654189,1630,5/3/03 22:00
yl2,51.75103778,-115.5653842,1659,5/3/03 20:01
yl2,51.74595556,-115.5673189,1659,5/3/03 18:00
yl2,51.75243444,-115.5533961,1659,5/3/03 10:00
yl2,51.75285333,-115.5540431,1659,5/3/03 8:00
yl2,51.75188028,-115.5522511,1662,5/3/03 6:00
yl2,51.75215222,-115.5514292,1662,5/3/03 4:00
yl2,51.75229583,-115.5513875,1662,5/3/03 2:00
yl2,51.75224833,-115.5513953,1657,5/3/03 0:00
yl2,51.75295583,-115.5542606,1659,5/3/03 16:01
yl2,51.751965,-115.5656058,1624,5/4/03 6:00
yl2,51.74993722,-115.5737125,1638,5/4/03 22:00
yl2,51.74889889,-115.5721747,1640,5/4/03 20:00
yl2,51.74603667,-115.5669969,1623,5/4/03 18:00
yl2,51.74667194,-115.5555103,1624,5/4/03 16:00
yl2,51.74825,-115.5547297,1624,5/4/03 14:00
yl2,51.74601806,-115.5670472,1623,5/4/03 12:00
yl2,51.74591806,-115.5672369,1623,5/4/03 8:00
yl2,51.75082861,-115.5654492,1624,5/4/03 4:00
yl2,51.75078361,-115.5654331,1624,5/4/03 2:00
yl2,51.75079028,-115.5654831,1630,5/4/03 0:00
yl2,51.74602333,-115.5670906,1623,5/4/03 10:00
yl2,51.7430675,-115.5642281,1617,5/5/03 8:01
yl2,51.74867861,-115.5776222,1618,5/5/03 20:00
yl2,51.744005,-115.5685278,1618,5/5/03 18:00
yl2,51.74127611,-115.5671344,1617,5/5/03 16:00
yl2,51.742445,-115.5633672,1617,5/5/03 14:00
yl2,51.75033944,-115.5787269,1640,5/5/03 22:00
yl2,51.74252056,-115.5620781,1623,5/5/03 6:00
yl2,51.74984222,-115.5745392,1638,5/5/03 4:00
yl2,51.74982111,-115.5739211,1638,5/5/03 2:00
yl2,51.74982639,-115.5736611,1638,5/5/03 0:00
yl2,51.74232083,-115.5634403,1617,5/5/03 12:01
yl2,51.74203528,-115.5632414,1617,5/5/03 10:00
yl2,51.74682194,-115.5776044,1642,5/6/03 8:00
yl2,51.74615417,-115.5690242,1616,5/6/03 22:00
yl2,51.73514917,-115.5547508,1610,5/6/03 16:00
yl2,51.74308611,-115.5623486,1610,5/6/03 14:00
yl2,51.74636194,-115.5754856,1642,5/6/03 10:00
yl2,51.75032972,-115.5787503,1643,5/6/03 2:00
yl2,51.75036528,-115.5788408,1640,5/6/03 0:00
yl2,51.74396139,-115.5631486,1610,5/6/03 12:01
yl2,51.75036333,-115.5671333,1626,5/7/03 8:00
yl2,51.7506625,-115.5661853,1625,5/7/03 14:00
yl2,51.74983083,-115.5721442,1629,5/7/03 22:13
yl2,51.74218556,-115.56311,1625,5/7/03 10:00
yl2,51.75044139,-115.5673756,1629,5/7/03 6:00
yl2,51.74615028,-115.5691119,1628,5/7/03 4:00
yl2,51.74618833,-115.5690089,1628,5/7/03 2:00
yl2,51.74629667,-115.5692,1617,5/7/03 0:00
yl2,51.75053194,-115.5661111,1625,5/7/03 12:00
yl2,51.73612861,-115.5458272,1569,5/8/03 22:00
yl2,51.73448833,-115.5547722,1555,5/8/03 20:00
yl2,51.73358972,-115.5647522,1568,5/8/03 18:00
yl2,51.73556,-115.5673289,1620,5/8/03 16:00
yl2,51.73918583,-115.5724319,1622,5/8/03 14:00
yl2,51.74734667,-115.5704911,1623,5/8/03 8:00
yl2,51.74007139,-115.5660986,1622,5/8/03 12:00
yl2,51.75074333,-115.5738922,1632,5/8/03 6:00
yl2,51.75066917,-115.5738119,1629,5/8/03 0:00
yl2,51.75074,-115.5738861,1629,5/8/03 4:00
yl2,51.75064556,-115.5738003,1629,5/8/03 2:00
yl2,51.74423222,-115.5637364,1623,5/8/03 10:00
yl2,51.74283806,-115.5559717,1601,5/9/03 14:00
yl2,51.74372556,-115.5625811,1609,5/9/03 8:00
yl2,51.74353889,-115.5542078,1601,5/9/03 16:00
yl2,51.74242444,-115.5524789,1606,5/9/03 18:00
yl2,51.74026139,-115.5444394,1607,5/9/03 22:00
yl2,51.74057556,-115.5459756,1605,5/9/03 20:00
yl2,51.73790583,-115.5474597,1593,5/9/03 6:00
yl2,51.73801333,-115.5472589,1571,5/9/03 4:00
yl2,51.73785056,-115.5460253,1571,5/9/03 2:00
yl2,51.73784917,-115.5461033,1571,5/9/03 0:00
yl2,51.74357889,-115.5624081,1610,5/9/03 12:00
yl2,51.74398111,-115.5631394,1610,5/9/03 10:00
yl2,51.74170472,-115.5391664,1611,5/10/03 8:00
yl2,51.74052472,-115.5388631,1599,5/10/03 22:01
yl2,51.73999556,-115.5338331,1619,5/10/03 20:00
yl2,51.74048722,-115.5234481,1614,5/10/03 18:00
yl2,51.74850167,-115.5028667,1617,5/10/03 16:00
yl2,51.74821639,-115.5042186,1617,5/10/03 14:00
yl2,51.74342111,-115.5360139,1617,5/10/03 10:00
yl2,51.74159194,-115.5391292,1610,5/10/03 6:00
yl2,51.74108056,-115.5383725,1607,5/10/03 4:00
yl2,51.74100944,-115.5384456,1607,5/10/03 2:00
yl2,51.74064444,-115.5402064,1607,5/10/03 0:00
yl2,51.74594917,-115.5171367,1617,5/10/03 12:00
yl2,51.74096333,-115.5648739,1596,5/11/03 12:00
yl2,51.73574083,-115.5609692,1575,5/11/03 20:00
yl2,51.737285,-115.5589992,1575,5/11/03 22:00
yl2,51.73766389,-115.5588389,1594,5/11/03 18:00
yl2,51.73866806,-115.5610656,1604,5/11/03 16:00
yl2,51.740865,-115.5611272,1604,5/11/03 14:00
yl2,51.74167694,-115.5616244,1572,5/11/03 8:00
yl2,51.73514167,-115.5476847,1572,5/11/03 6:00
yl2,51.73890111,-115.5398972,1599,5/11/03 4:00
yl2,51.73893694,-115.5399158,1599,5/11/03 2:00
yl2,51.73984306,-115.5409706,1599,5/11/03 0:00
yl2,51.74063639,-115.5612069,1602,5/11/03 10:00
yl2,51.73947472,-115.57055,1585,5/12/03 20:00
yl2,51.737255,-115.55939,1575,5/12/03 0:00
yl2,51.743075,-115.5634022,1605,5/12/03 22:00
yl2,51.7381025,-115.5703294,1588,5/12/03 18:00
yl2,51.73921889,-115.5705808,1601,5/12/03 16:00
yl2,51.74062556,-115.5732214,1601,5/12/03 14:00
yl2,51.73970667,-115.5727361,1601,5/12/03 12:00
yl2,51.74075861,-115.5610483,1601,5/12/03 8:00
yl2,51.73839389,-115.5612286,1600,5/12/03 6:00
yl2,51.73780722,-115.5588539,1575,5/12/03 4:00
yl2,51.73762361,-115.5591556,1575,5/12/03 2:00
yl2,51.73907222,-115.5716675,1601,5/12/03 10:00
yl2,51.73977417,-115.5739936,1597,5/13/03 8:00
yl2,51.74522,-115.5705522,1616,5/13/03 22:00
yl2,51.74282139,-115.5732017,1598,5/13/03 20:00
yl2,51.742585,-115.5742192,1598,5/13/03 18:00
yl2,51.74166389,-115.5762744,1597,5/13/03 16:00
yl2,51.74115806,-115.5782517,1597,5/13/03 14:00
yl2,51.74304861,-115.5635967,1605,5/13/03 0:00
yl2,51.74012611,-115.5765375,1597,5/13/03 10:01
yl2,51.74072194,-115.5686561,1601,5/13/03 6:00
yl2,51.74266,-115.5647442,1605,5/13/03 4:00
yl2,51.74258611,-115.5646906,1605,5/13/03 2:00
yl2,51.74146389,-115.5772478,1598,5/13/03 12:00
yl2,51.74528639,-115.5651017,1619,5/14/03 8:01
yl2,51.73738139,-115.5824994,1606,5/14/03 14:00
yl2,51.74071861,-115.5751464,1578,5/14/03 22:00
yl2,51.73377,-115.5775456,1571,5/14/03 20:00
yl2,51.73159139,-115.5818642,1572,5/14/03 18:00
yl2,51.73150278,-115.5836578,1606,5/14/03 16:00
yl2,51.74939889,-115.5599094,1607,5/14/03 12:00
yl2,51.746755,-115.5605697,1607,5/14/03 10:00
yl2,51.74982222,-115.5643419,1620,5/14/03 6:00
yl2,51.74602167,-115.57021,1626,5/14/03 4:00
yl2,51.74517528,-115.5709183,1626,5/14/03 2:00
yl2,51.74522944,-115.5706836,1626,5/14/03 0:00
yl2,51.73789139,-115.576545,1598,5/15/03 8:00
yl2,51.74386528,-115.5647244,1605,5/15/03 22:00
yl2,51.7398675,-115.5713614,1588,5/15/03 20:00
yl2,51.74058722,-115.5716711,1603,5/15/03 18:00
yl2,51.73752667,-115.5713625,1603,5/15/03 16:00
yl2,51.73750861,-115.5730667,1603,5/15/03 14:00
yl2,51.73840667,-115.5802594,1603,5/15/03 10:00
yl2,51.73801944,-115.5753422,1589,5/15/03 6:00
yl2,51.74066,-115.5733711,1589,5/15/03 4:00
yl2,51.74046778,-115.5732553,1589,5/15/03 2:00
